WellID,BVHH_imputed,FormationAlias,LateralLength,LeftNeighbourType,RightNeighbourType,CodGOR_imputed,is_zero_proppant,NormalizedOilEUR,NormalizedGasEUR,FluidPerFoot_imputed,ProppantPerFoot_imputed,NioGOR_imputed,TVD_missing_noneighbour,NioGOR_missing_noneighbour,RightDistance_filled,LeftDistance_filled,TVD_imputed,TotalSpacing,BVHH_x_NIOBRARA,BVHH_bin,Proppant_x_BVHH,Proppant_sq_x_BVHH,HighBVHH_Codell_x_Proppant,HighBVHH_Niobrara_x_Proppant,Proppant_level,Fluid_level,Proppant_x_Fluid,HighProppant_HighFluid,NioGOR_bin,BVHH_imputed_sq
500109858,0.750506154,CODELL,9907.0,NoNeighbour,NoNeighbour,1126.227805,0,48.39194509,122.3055415,1817.09034,1739.52256,1579.18932,0,0,-1.0,-1.0,7824.0,9999999.0,0.0,Low,1305.5223863018343,2270985.643557076,0.0,0.0,High,High,3160869.6399880704,1,Low,0.5632594871918717
500109860,1.487992708,NIOBRARA,9879.0,NoNeighbour,NoNeighbour,1432.007957,0,35.60137666,79.23524648,1740.727604,1744.103654,1804.764588,0,0,-1.0,-1.0,7602.0,9999999.0,1.487992708,High,2595.213519148155,4526321.381656496,0.0,1744.103654,High,High,3036009.374755065,1,Low,2.2141222990611733
500109866,1.456688235,NIOBRARA,10027.0,Parent,Codeveloped,1423.597262,0,18.28413284,68.49047572,903.1490974,967.1885908,1899.440485,0,0,216.0,739.0,7588.0,955.0,1.456688235,High,1408.8922412445895,1362664.501398408,0.0,967.1885908,Medium,Medium,873515.5027965979,0,Low,2.1219406139874155
500109873,1.2760245696,NIOBRARA,12880.0,NoNeighbour,NoNeighbour,6332.1811104,0,15.37119565,76.5322205,884.9888199,701.863354,3643.988194095,1,1,-1.0,-1.0,7428.88,9999999.0,1.2760245696,High,895.5948842058625,628585.2292539682,0.0,701.863354,Low,Medium,621141.2213875159,0,Medium,1.6282387022228655
500109877,1.0618922406,CODELL,12876.0,NoNeighbour,NoNeighbour,3844.0991266000005,0,21.98594284,110.9869525,650.157813,698.3535259,3768.2482525439987,0,1,-1.0,-1.0,8041.0,9999999.0,0.0,Medium,741.5761903488611,517882.3472536167,0.0,0.0,Low,Low,454040.0010999829,0,Medium,1.1276151306464883
500109880,1.274631096,NIOBRARA,12636.0,NoNeighbour,NoNeighbour,5470.898759000001,0,18.26448243,75.82573599,884.144666,722.0639443,3680.370102755,1,1,-1.0,-1.0,7627.09,9999999.0,1.274631096,High,920.365156705192,664562.4952468385,0.0,722.0639443,Low,Medium,638408.9848637661,0,Medium,1.6246844308901613
500109881,0.6485615992,CODELL,12786.0,NoNeighbour,NoNeighbour,2237.1871068,0,29.1476615,70.59416549,666.9373534,731.4249961,3058.4845783019987,0,1,-1.0,-1.0,8030.0,9999999.0,0.0,Low,474.3741651654698,346969.12190609454,0.0,0.0,Low,Low,487814.6511095394,0,Medium,0.42063214795686144
500109884,1.0618922406,CODELL,12885.0,NoNeighbour,NoNeighbour,2454.0337248000005,0,30.31975165,67.62817229,674.181917,713.6980986,3540.2783303459983,1,1,-1.0,-1.0,7948.27,9999999.0,0.0,Medium,757.8704730343137,540890.7155896722,0.0,0.0,Low,Low,481162.352273403,0,Medium,1.1276151306464883
500109885,1.0988567214,NIOBRARA,12830.0,NoNeighbour,NoNeighbour,5119.8585754,0,13.19625877,69.60568979,742.8901793,711.1457521,5281.658840805002,1,1,-1.0,-1.0,7069.3,9999999.0,1.0988567214,Medium,781.4472895901431,555722.9204820888,0.0,0.0,Low,Low,528303.1952860024,0,High,1.2074860941659573
500109887,0.9796262972,NIOBRARA,16659.0,NoNeighbour,NoNeighbour,8467.932687199998,0,15.42541569,60.33495408,823.5766252,858.1547512,8719.022230174,0,1,-1.0,-1.0,7846.0,9999999.0,0.9796262972,Medium,840.6709613426433,721425.7796720609,0.0,0.0,Medium,Medium,706756.1938926416,0,High,0.9596676821657828
